ID,Doza_snaga,Doza_jedinica_mjere
421594,1000,mg
421608,360,mg
421609,180,mg
421711,60,mg
421715,1.5,mg
421717,3,mg
421718,6,mg
421784,400,mg
421796,50,mg
421832,2,mg
421833,4,mg
421834,8,mg
421914,14,mg
422065,50,mg
422066,50,mg
422088,75,i.j.
422115,2.5,mg
422116,5,mg
422117,10,mg
422136,20,mg
422137,10,mg
422139,20,mg
422141,10,mg
422294,10,mg
422403,4,mg
422417,1.5,mg
422428,2,mg
422506,5,mg
422507,10,mg
422558,75,mg
422585,200,mg
422592,200,mg
422593,200,mg
422622,250,mg
422624,250,mg
422625,500,mg
422627,500,mg
422628,1000,mg
422630,1000,mg
422754,500,mg
422883,50,mg
423019,35,mg
423020,35,mg
423052,10,mg
423247,50,mg
423249,150,mg
423251,75,mg
423342,100,mg
423344,100,mg
423346,200,mg
423348,200,mg
423381,100,mg
423410,10,mg
423411,10,mg
423412,10,mg
423413,10,mg
423446,100,mg
423450,150,mg
423584,4,mg
423586,4,mg
423588,8,mg
423590,8,mg
423609,35,mg
423625,100,mg
423627,20,mg
423771,25,mg
423774,50,mg
424043,2.5,mg
424185,75,i.j.
424186,75,i.j.
424258,35,mg
424303,40,mg
424351,140,mg
424352,140,mg
424387,70,mg
424388,70,mg
424392,80,mg
424393,80,mg
424395,100,mg
424396,100,mg
424452,1000,mg
424457,400,mg
424488,5,mg
424489,5,mg
424490,5,mg
424492,10,mg
424493,10,mg
424494,10,mg
424523,200,mg
424724,400,mg
424769,10,mg
424781,80,mg
424781,80,mg
424810,5,mg
424812,5,mg
424813,7.5,mg
424815,7.5,mg
424875,200,mcg
424993,1000,mg
425196,150,mg
425199,75,mg
425363,10.8,mg
425363,10.8,mg
425534,5,mg
425536,10,mg
425547,37.5,mg
425549,75,mg
425569,10,mg
425571,15,mg
425611,5,mg
425618,100,mg
425631,2,mg
425632,2,mg
425634,8,mg
425635,8,mg
425671,40,mg
425672,40,mg
425673,40,mg
425676,40,mg
425677,40,mg
425678,40,mg
425682,300,mg
425703,225,mg
425715,50,mg
425716,50,mg
425718,75,mg
425719,75,mg
425734,60,mg
425762,400,mg
425789,25,mg
425864,70,mg
425874,40,mg
425875,20,mg
425876,10,mg
425877,5,mg
426039,200,mg
426122,10,mg
426123,10,mg
426124,10,mg
426125,10,mg
426127,15,mg
426128,15,mg
426131,20,mg
426132,20,mg
426187,180,mg
426307,400,mg
426528,50,mg
426529,50,mg
426531,100,mg
426532,100,mg
426563,80,mg
426590,5,mg
426591,10,mg
426618,600,mg
426620,600,mg
426622,5,mg
427096,150,mg
427356,20,mg
427358,20,mg
427367,750,mg
427369,1500,mg
427385,40,mg
427387,20,mg
427425,500,mg
427427,500,mg
427445,10,mg
427447,10,mg
427448,10,mg
427449,10,mg
427451,20,mg
427453,20,mg
427454,20,mg
427455,20,mg
427508,400,mg
427518,250,mg
427520,500,mg
427521,120,mg
427538,10,mg
427540,20,mg
427541,10,mg
427542,20,mg
427595,150,mg
427596,300,mg
427667,1000,mg
427682,100,mg
427686,150,mg
427735,61,mg
427771,75,mg
427786,100,mg
427796,15,mg
427797,15,mg
427848,20,mg
427937,50,mg
427939,100,mg
427964,500,mg
427987,10,mg
427988,10,mg
428041,500,mg
428044,1,g
428060,30,mg
428062,30,mg
428458,10,mg
428532,1,g
428543,1,g
428544,1,g
428912,10,mg
428917,400,mg
428932,2,g
428940,250,mg
428942,500,mg
428966,1.25,mg
428967,1.25,mg
428969,1.25,mg
428976,3.75,mg
428977,3.75,mg
428979,3.75,mg
428980,3.75,mg
429767,500,mg
429768,1000,mg
429835,50,mg
429844,100,mg
429848,200,mg
429865,400,mg
429868,400,mg
430265,80,mg
430289,5,mg
430299,10,mg
430359,3,mg
430505,80,mg
430506,80,mg
430633,1000,mg
430650,250,i.j.
430668,500,i.j.
430670,1000,i.j.
430921,200,mg
430924,1000,mg
431038,500,mg
431050,275,mg
431295,500,mg
431339,250,mg
431449,1,g
431523,60,mg
431596,2.5,mg
431601,10,mg
431605,10,mg
431609,15,mg
431616,20,mg
431643,50,mg
431673,3.5,mg
431675,3.5,mg
431683,7,mg
431685,7,mg
432054,50,mg
432095,12.5,mg
432100,25,mg
432142,0.5,mg
432144,1,mg
432146,3,mg
432148,5,mg
432183,10,mg
432188,15,mg
432190,20,mg
432196,15,mg
432198,30,mg
432242,100,mg
432244,200,mg
432253,3,mg
432316,5,mg
432318,10,mg
432321,20,mg
432509,125,mg
432510,125,mg
432600,1.5,mg
432671,100,mg
432724,45,mg
432725,30,mg
432732,40,mg
432867,160,mg
433032,500,mg
433044,0.25,mg
433045,0.25,mg
433047,0.5,mg
433049,0.5,mg
433051,1,mg
433053,1,mg
433090,2.5,mg
433093,5,mg
433097,5,mg
433105,220,mg
433151,1000000,i.j.
433164,50,mg
433176,500,mg
433177,500,mg
433179,1000,mg
433180,1000,mg
433208,40,mg
433242,400,mg
433245,200,mg
433248,300,mg
433250,150,mg
433275,100,mg
433318,100,mg
433319,100,mg
433361,50,mg
433362,25,mg
433372,5,mg
433378,145,mg
433462,60,mg
433463,40,mg
433464,20,mg
433475,50,mg
433504,80,mg
433505,80,mg
433507,120,mg
433508,120,mg
433705,5,mg
433707,5,mg
433718,10,mg
433720,10,mg
433723,30,mg
433725,60,mg
433792,1000000,i.j.
433815,2000000,i.j.
433817,1000000,i.j.
433829,20,mg
433836,30,mg
433842,80,mg
433866,4,mg
433873,8,mg
433901,2,mg
433904,8,mg
433934,660,mg
433939,50,mg
433941,1000,mg
433958,100,mg
434027,8,mg
434050,2,mg
434057,5,mg
434058,5,mg
434059,5,mg
434574,10,mg
434576,5,mg
434584,1.5,mg
434589,5,mg
434589,5,mg
434590,2.5,mg
434590,2.5,mg
434591,2.5,mg
434591,2.5,mg
434609,25,mg
434612,25,mg
434613,15,mg
434616,15,mg
434617,10,mg
434620,10,mg
434621,5,mg
434624,5,mg
434648,1000,mg
434650,500,mg
434679,1,mg
434706,150,mg
434707,150,mg
434727,1000,mg
434728,1000,mg
434742,90,mg
434743,60,mg
434938,100,Allergan j.
435069,5,mg
435071,5,mg
435145,500,mg
435194,5,mg
435199,200,j.
435226,200,mg
435307,250,mg
435313,600,mg
435391,100,mg
435418,0.4,mg
435426,100,mg
435454,250,mg
435461,500,mg
435463,500,mg
435479,5,mg
435486,10,mg
435489,20,mg
435511,140,mg
435565,250,mg
435687,140,mg
435718,50,mg
435719,50,mg
435722,75,mg
435723,75,mg
435726,150,mg
435727,150,mg
435945,5,g
435960,15,mg
435965,15,mg
435969,450,mg
435998,25,mg
436068,200,mg
436175,45,mg
436193,300,mg
436198,200,mg
436200,200,mg
436244,0.4,mg
436247,2,mg
436284,5,mg
436306,250,mg
436309,250,mg
436349,28,mg
436364,6,mg
436365,4,mg
436366,3,mg
436367,2,mg
436368,1,mg
436369,6,mg
436370,4,mg
436371,3,mg
436372,2,mg
436373,1,mg
436405,28,mg
436446,1.5,mg
436499,25,mg
436707,5,mg
436714,10,mg
436720,15,mg
436728,25,mg
436928,50,mg
436973,100,mg
436981,150,mg
437026,40,mg
437026,40,mg
437027,20,mg
437027,20,mg
437028,10,mg
437028,10,mg
437031,5,mg
437031,5,mg
437032,10,mg
437032,10,mg
437033,30,mg
437034,120,mg
437034,120,mg
437035,90,mg
437035,90,mg
437036,60,mg
437036,60,mg
437037,30,mg
437037,30,mg
437093,420,mg
437094,420,mg
437180,10,mg
437181,10,mg
437182,10,mg
437183,10,mg
437184,10,mg
437186,10,mg
437194,20,mg
437195,20,mg
437196,20,mg
437197,20,mg
437198,20,mg
437200,20,mg
437202,200,mg
437205,40,mg
437206,40,mg
437207,40,mg
437208,40,mg
437209,40,mg
437211,40,mg
437267,150,mg
437272,5,mg
437276,5,mg
437284,10,mg
437624,15000,i.j.
437834,5,mg
437995,0.5,mg
438155,10,mg
438188,5,mg
438191,500,mg
438192,500,mg
438194,1000,mg
438196,1000,mg
438206,10,mg
438256,10,mg
438289,24,mg
438290,24,mg
438327,1000000,i.j.
438344,20,mg
438347,20,mg
438354,40,mg
438358,40,mg
438410,500,mg
438411,500,mg
438430,9,mg
438481,200,mg
438494,20,mg
438496,20,mg
438500,20,mg
438522,1,g
438523,1,g
438525,10,mg
438526,10,mg
438527,10,mg
438538,10,mg
438542,20,mg
438577,2.5,mg
438578,2.5,mg
438579,2.5,mg
438581,2.5,mg
438585,5,mg
438586,5,mg
438587,5,mg
438589,5,mg
438591,10,mg
438592,10,mg
438593,10,mg
438595,10,mg
438660,10,mg
438697,200,mg
438727,500,i.j.
438732,1000,i.j.
438734,2000,i.j.
438825,200,mg
438826,200,mg
438827,200,mg
438831,25,mg
438871,250,mg
438873,250,mg
438961,25,mg
438962,15,mg
438963,10,mg
438964,5,mg
438967,25,mg
